leaf_size, snippet_size, build_or_not
1, 0, false
0, 0, true
1, 0, false
5, 0, false
3, 1, false
4, 12, false
1, 0, false
5, 0, false
3, 0, false
1, 1, false
1, 1, false
0, 0, true
3, 12, false
1, 0, true
1, 12, false
0, 0, true
1, 1, false
0, 0, true
0, 0, true
0, 0, true
1, 0, true
1, 0, true
1, 0, true
2, 0, true
6, 0, false
5, 2, false
3, 0, false
0, 0, true
0, 0, true
1, 0, false
2, 1, false
4, 1, false
1, 1, false
6, 3, false
4, 4, false
4, 3, false
12, 3, false
12, 1, false
12, 0, false
10, 1, false
9, 2, false
11, 2, false
9, 2, false
12, 14, false
13, 14, false
4, 52, false
3, 54, false
8, 54, false
3, 1, false
4, 0, false
5, 13, false
4, 15, false
3, 1, false
3, 15, false
7, 1, false
8, 2, false
9, 1, false
2, 0, false
0, 0, true
0, 0, true
1, 0, true
2, 0, false
0, 0, true
1, 0, false
1, 1, false
1, 0, false
1, 0, false
1, 0, false
1, 0, false
1, 3, false
0, 0, true
1, 0, false
3, 1, false
5, 0, false
3, 1, false
5, 0, true
7, 0, true
7, 0, true
1, 1, true
3, 1, true
0, 0, true
2, 1, true
2, 1, true
3, 1, true
1, 0, true
2, 1, true
1, 1, true
2, 1, true
0, 0, true
1, 1, true
13, 5, false
15, 5, false
8, 5, false
12, 1, true
17, 4, true
13, 3, false
4, 2, false
4, 13, false
8, 2, false
2, 6, false
0, 0, true
1, 1, true
0, 0, true
2, 6, false
3, 6, false
0, 0, true
0, 0, true
0, 0, true
12, 80, false
11, 59, false
14, 59, false
0, 0, true
0, 0, true
0, 0, true
7, 18, false
4, 5, false
9, 18, false
13, 6, false
14, 23, false
20, 24, false
5, 9, false
4, 9, false
1, 1, true
5, 10, false
5, 21, false
5, 26, false
17, 20, false
6, 6, false
12, 21, false
15, 20, false
14, 22, false
17, 21, false
1, 0, true
1, 12, false
2, 1, false
17, 17, false
22, 2, false
20, 2, false
10, 114, false
17, 117, false
17, 125, false
2, 0, true
4, 0, false
3, 1, true
28, 21, false
26, 127, false
24, 128, false
0, 0, true
1, 0, true
0, 0, true
1, 0, true
1, 0, true
1, 0, true
1, 0, false
1, 0, false
3, 0, false
1, 0, false
4, 0, false
1, 0, false
0, 0, true
0, 0, true
0, 0, true
0, 0, true
0, 0, true
0, 0, true
2, 0, true
1, 0, true
2, 0, true
2, 0, true
5, 0, true
1, 0, true
7, 0, true
7, 0, true
5, 0, true
3, 0, true
5, 0, true
5, 0, true
4, 0, true
5, 0, true
5, 0, true
6, 0, true
5, 0, true
0, 0, true
6, 0, true
11, 0, true
11, 0, true
3, 1, true
0, 0, true
2, 1, true
10, 0, true
12, 0, false
10, 0, true
3, 1, true
2, 1, true
2, 0, false
7, 8, false
5, 8, false
5, 8, false
2, 9, false
2, 9, false
4, 10, false
2, 9, false
0, 0, true
0, 0, true
3, 9, false
2, 9, false
3, 9, false
0, 0, true
3, 9, false
3, 9, false
1, 10, false
0, 0, true
1, 3, false
0, 0, true
0, 0, true
3, 12, false
2, 10, false
2, 8, false
1, 0, false
2, 8, false
3, 12, false
2, 10, false
1, 10, false
1, 10, false
1, 0, false
1, 8, false
1, 8, false
0, 0, true
3, 9, false
6, 9, false
3, 9, false
6, 13, false
4, 13, false
4, 13, false
2, 11, false
1, 10, false
2, 11, false
2, 10, false
0, 0, true
1, 9, false
2, 10, false
3, 11, false
3, 11, false
3, 12, false
3, 12, false
3, 10, false
0, 0, true
1, 0, true
0, 0, true
1, 0, true
2, 0, true
0, 0, true
1, 0, true
0, 0, true
0, 0, true
1, 0, true
1, 0, true
1, 0, true
5, 14, false
1, 10, false
4, 14, false
2, 12, false
2, 12, false
3, 12, false
8, 13, false
7, 11, false
11, 14, false
29, 16, false
23, 17, false
33, 18, false
16, 23, false
17, 24, false
9, 22, false
9, 3, true
8, 2, false
9, 5, true
17, 17, false
24, 15, false
18, 17, false
17, 32, false
19, 32, false
16, 32, false
8, 5, false
11, 7, false
17, 6, false
3, 1, true
4, 2, true
2, 1, true
8, 13, false
4, 13, false
5, 13, false
4, 16, false
3, 16, false
3, 0, false
3, 24, false
1, 15, false
1, 15, false
21, 25, false
17, 28, false
19, 28, false
8, 1, false
12, 1, false
10, 0, false
2, 0, true
2, 0, false
2, 0, true
0, 0, true
1, 0, true
1, 0, true
2, 0, false
1, 0, false
1, 0, false
22, 68, false
19, 66, false
17, 57, false
7, 18, false
6, 24, false
3, 18, false
5, 23, false
1, 8, false
4, 22, false
0, 0, true
2, 17, false
1, 11, false
16, 27, false
14, 27, false
16, 29, false
1, 10, false
3, 12, false
2, 10, false
10, 76, false
10, 76, false
11, 78, false
3, 11, false
4, 13, false
6, 15, false
20, 100, false
18, 41, false
14, 90, false
1, 0, false
0, 0, true
2, 17, false
1, 1, true
