leaf_size, node_size, main_loc, snippet_size, snippet_loc, build_or_not
3, 6, -1, 0, -1, false
2, 5, -1, 0, -1, true
1, 3, -1, 0, -1, true
13, 22, -1, 1, -1, false
9, 17, -1, 1, -1, false
14, 23, -1, 1, -1, false
3, 5, -1, 1, -1, true
4, 6, -1, 1, -1, true
2, 4, -1, 1, -1, true
0, 1, -1, 1, -1, true
2, 4, -1, 1, -1, true
2, 4, -1, 1, -1, true
1, 4, -1, 0, -1, true
0, 4, -1, 0, -1, true
2, 6, -1, 0, -1, true
3, 7, -1, 0, -1, false
3, 7, -1, 0, -1, false
2, 5, -1, 0, -1, false
1, 4, -1, 0, -1, false
2, 6, -1, 0, -1, false
3, 7, -1, 0, -1, false
1, 4, -1, 0, -1, false
0, 1, -1, 0, -1, true
1, 3, -1, 0, -1, false
5, 8, -1, 1, -1, false
5, 6, -1, 1, -1, true
4, 7, -1, 1, -1, false
9, 17, -1, 1, -1, false
8, 14, -1, 1, -1, false
10, 18, -1, 1, -1, false
5, 9, -1, 1, -1, false
6, 10, -1, 1, -1, true
7, 10, -1, 1, -1, true
14, 28, -1, 3, -1, false
10, 26, -1, 4, -1, false
13, 25, -1, 5, -1, false
12, 25, -1, 0, -1, false
8, 18, -1, 0, -1, false
9, 21, -1, 0, -1, false
16, 30, -1, 1, -1, false
12, 28, -1, 1, -1, false
14, 28, -1, 4, -1, false
25, 51, -1, 5, -1, false
29, 58, -1, 5, -1, false
26, 57, -1, 5, -1, false
4, 7, -1, 0, -1, true
4, 7, -1, 0, -1, true
5, 8, -1, 0, -1, true
26, 45, -1, 0, -1, false
23, 40, -1, 1, -1, false
29, 46, -1, 0, -1, false
3, 6, -1, 1, -1, false
2, 3, -1, 1, -1, false
2, 5, -1, 1, -1, false
5, 15, -1, 5, -1, false
7, 17, -1, 5, -1, false
8, 18, -1, 5, -1, false
42, 84, -1, 21, -1, false
43, 89, -1, 20, -1, false
39, 87, -1, 18, -1, false
0, 2, -1, 0, -1, false
1, 3, -1, 0, -1, false
0, 3, -1, 0, -1, false
7, 17, -1, 2, -1, false
10, 21, -1, 29, -1, false
6, 17, -1, 27, -1, false
4, 11, -1, 1, -1, false
4, 10, -1, 1, -1, false
5, 10, -1, 1, -1, false

leaf_size, node_size, main_loc, snippet_size, snippet_loc, build_or_not
4, 17, -1, 2, -1, true
4, 15, -1, 2, -1, true
5, 16, -1, 2, -1, true
2, 3, -1, 2, -1, true
2, 3, -1, 2, -1, true
4, 5, -1, 2, -1, true
17, 26, -1, 3, -1, false
23, 34, -1, 4, -1, false
16, 26, -1, 4, -1, false
4, 5, -1, 2, -1, true
5, 6, -1, 2, -1, true
8, 9, -1, 2, -1, true
5, 8, -1, 3, -1, true
3, 6, -1, 3, -1, true
1, 4, -1, 3, -1, true
6, 7, -1, 2, -1, true
5, 6, -1, 2, -1, true
4, 5, -1, 2, -1, false
4, 7, -1, 2, -1, true
3, 6, -1, 2, -1, true
2, 5, -1, 2, -1, true
0, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
1, 2, -1, 0, -1, true
6, 10, -1, 0, -1, false
6, 10, -1, 0, -1, false
5, 9, -1, 0, -1, false
12, 20, -1, 0, -1, true
13, 27, -1, 0, -1, true
13, 27, -1, 0, -1, true
7, 17, -1, 6, -1, true
7, 16, -1, 6, -1, true
5, 15, -1, 6, -1, true
19, 32, -1, 9, -1, true
15, 27, -1, 9, -1, true
14, 25, -1, 9, -1, true
23, 45, -1, 1, -1, false
28, 49, -1, 2, -1, false
27, 48, -1, 2, -1, true
15, 26, -1, 1, -1, false
13, 24, -1, 1, -1, false
14, 25, -1, 1, -1, false
23, 34, -1, 0, -1, true
19, 29, -1, 0, -1, true
20, 31, -1, 0, -1, true
81, 140, -1, 9, -1, false
84, 146, -1, 16, -1, false
88, 149, -1, 14, -1, false
3, 4, -1, 2, -1, true
4, 5, -1, 2, -1, true
3, 4, -1, 2, -1, true
1, 6, -1, 20, -1, false
2, 8, -1, 20, -1, false
1, 5, -1, 20, -1, false
2, 5, -1, 20, -1, false
1, 4, -1, 20, -1, false
5, 8, -1, 20, -1, false
1, 1, -1, 1, -1, true
1, 2, -1, 1, -1, true
1, 2, -1, 1, -1, true
20, 43, -1, 14, -1, false
16, 37, -1, 13, -1, false
21, 44, -1, 13, -1, false
1, 4, -1, 0, -1, false
0, 2, -1, 0, -1, false
1, 4, -1, 1, -1, false
10, 16, -1, 12, -1, false
7, 12, -1, 12, -1, false
6, 12, -1, 12, -1, false
3, 8, -1, 12, -1, false
1, 5, -1, 0, -1, false
2, 7, -1, 0, -1, false
3, 4, -1, 0, -1, false
1, 4, -1, 0, -1, false
3, 6, -1, 0, -1, false
2, 5, -1, 13, -1, false
1, 2, -1, 13, -1, false
0, 1, -1, 0, -1, true
1, 2, -1, 1, -1, true
1, 1, -1, 1, -1, true
1, 2, -1, 1, -1, true
14, 23, -1, 0, -1, false
16, 27, -1, 13, -1, false
22, 35, -1, 13, -1, false
3, 6, -1, 0, -1, false
2, 5, -1, 0, -1, false
2, 5, -1, 0, -1, false
1, 4, -1, 12, -1, false
1, 4, -1, 12, -1, false
1, 1, -1, 12, -1, false
1, 2, -1, 0, -1, false
0, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
4, 5, -1, 0, -1, false
1, 2, -1, 0, -1, true
3, 6, -1, 0, -1, false
4, 7, -1, 0, -1, false
5, 6, -1, 0, -1, false
0, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 2, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 2, -1, 0, -1, true
1, 2, -1, 0, -1, false
0, 1, -1, 0, -1, true
1, 1, -1, 0, -1, false
3, 8, -1, 12, -1, false
5, 12, -1, 0, -1, false
6, 13, -1, 12, -1, false
2, 3, -1, 0, -1, false
4, 6, -1, 0, -1, false
2, 5, -1, 0, -1, false
1, 8, -1, 1, -1, false
2, 8, -1, 1, -1, false
1, 8, -1, 13, -1, false
4, 10, -1, 12, -1, false
3, 9, -1, 12, -1, false
4, 11, -1, 12, -1, false
0, 4, -1, 0, -1, false
1, 5, -1, 0, -1, false
2, 7, -1, 1, -1, false
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
1, 2, -1, 0, -1, true
0, 1, -1, 0, -1, true
9, 17, -1, 13, -1, false
14, 25, -1, 14, -1, false
11, 22, -1, 14, -1, false
1, 3, -1, 0, -1, false
2, 5, -1, 0, -1, false
2, 5, -1, 0, -1, false
1, 4, -1, 12, -1, false
1, 4, -1, 12, -1, false
1, 4, -1, 12, -1, false
0, 3, -1, 0, -1, false
0, 2, -1, 0, -1, false
0, 2, -1, 0, -1, false
0, 1, -1, 0, -1, false
0, 1, -1, 0, -1, false
0, 2, -1, 0, -1, false
7, 13, -1, 12, -1, false
9, 14, -1, 12, -1, false
4, 9, -1, 12, -1, false
1, 1, -1, 0, -1, false
1, 2, -1, 0, -1, false
1, 2, -1, 0, -1, false
0, 1, -1, 0, -1, true
1, 4, -1, 12, -1, false
2, 5, -1, 12, -1, false
1, 2, -1, 0, -1, false
0, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
1, 2, -1, 0, -1, true
1, 1, -1, 0, -1, true
2, 3, -1, 0, -1, false
0, 1, -1, 0, -1, true
2, 3, -1, 0, -1, false
3, 6, -1, 1, -1, false
4, 6, -1, 10, -1, false
5, 8, -1, 1, -1, false
3, 4, -1, 0, -1, false
6, 7, -1, 0, -1, false
2, 3, -1, 0, -1, false
4, 5, -1, 0, -1, false
2, 4, -1, 0, -1, false
2, 5, -1, 0, -1, false
8, 11, -1, 0, -1, false
11, 14, -1, 0, -1, false
7, 10, -1, 0, -1, false
13, 15, -1, 0, -1, false
8, 10, -1, 0, -1, false
10, 12, -1, 0, -1, false
6, 12, -1, 0, -1, false
4, 10, -1, 0, -1, false
7, 13, -1, 0, -1, false
2, 10, -1, 0, -1, false
1, 6, -1, 14, -1, false
2, 11, -1, 14, -1, false
1, 10, -1, 0, -1, false
3, 10, -1, 3, -1, false
1, 7, -1, 2, -1, false
10, 28, -1, 12, -1, false
16, 36, -1, 12, -1, false
11, 26, -1, 13, -1, false
2, 3, -1, 0, -1, false
4, 5, -1, 1, -1, false
3, 4, -1, 1, -1, false
1, 4, -1, 0, -1, false
0, 2, -1, 0, -1, false
1, 4, -1, 0, -1, false
2, 3, -1, 1, -1, false
2, 5, -1, 1, -1, false
2, 3, -1, 0, -1, false
28, 76, -1, 5, -1, true
29, 73, -1, 4, -1, true
24, 69, -1, 4, -1, true
4, 18, -1, 15, -1, false
10, 26, -1, 15, -1, false
10, 27, -1, 15, -1, false
1, 4, -1, 1, -1, false
1, 4, -1, 1, -1, false
1, 4, -1, 1, -1, false
3, 5, -1, 15, -1, false
