# time limit: 30s
# segment: 50
project name,exit status,compile success count,compile error count,build rate
./abrasive-shairport,0, 54, 50, .51
./alibaba-tengine,0, 14, 42, .25
./allinurl-goaccess,0, 38, 75, .33
./antirez-disque,0, 1, 54, .01
./antirez-redis,0, 2, 60, .03
./arut-nginx-rtmp-module,0, 3, 84, .03
./awslabs-s2n,0, 23, 110, .17
./b4winckler-macvim,0, 0, 13, 0
./bagder-curl,Runtime error (func=(main), adr=11): Divide by zero
0, 0, 0,
./Bilibili-ijkplayer,0, 0, 11, 0
./buaazp-zimg,0, 83, 19, .81
./cesanta-mongoose,0, 36, 60, .37
./cinder-Cinder,Runtime error (func=(main), adr=11): Divide by zero
0, 0, 0,
./clibs-clib,0, 107, 9, .92
./cloudius-systems-osv,/home/hebi/github/Helium/scripts/buildrate.sh: line 11: 20545 Segmentation fault      timeout 30 helium $fname > /dev/null 2>&1
0, 0, 2, 0
./cloudwu-skynet,0, 4, 13, .23
./contiki-os-contiki,Runtime error (func=(main), adr=11): Divide by zero
0, 0, 0,
./coolwanglu-vim.js,0, 0, 13, 0
./DrKLO-Telegram,0, 3, 2, .60
./facebook-css-layout,0, 1, 16, .05
./facebook-watchman,0, 51, 74, .40
./fastos-fastsocket,/home/hebi/github/Helium/scripts/buildrate.sh: line 11: 24745 Segmentation fault      timeout 30 helium $fname > /dev/null 2>&1
Runtime error (func=(main), adr=11): Divide by zero
0, 0, 0,
./FFmpeg-FFmpeg,0, 20, 119, .14
./fogleman-Craft,0, 15, 7, .68
./ggreer-the_silver_searcher,0, 35, 24, .59
./git-git,0, 15, 130, .10
./google-ios-webkit-debug-proxy,0, 41, 60, .40
./grpc-grpc,0, 1, 24, .04
./h2o-h2o,0, 55, 86, .39
./haiwen-seafile,0, 13, 114, .10
./helium_result,Runtime error (func=(main), adr=11): Divide by zero
0, 0, 0,
./imatix-zguide,0, 1, 144, 0
./irungentoo-toxcore,0, 16, 82, .16
./jedisct1-libsodium,0, 0, 46, 0
./jonas-tig,0, 20, 109, .15
./jorisvink-kore,0, 7, 78, .08
./joyent-http-parser,0, 4, 27, .12
./joyent-libuv,Runtime error (func=(main), adr=11): Divide by zero
0, 0, 0,
./julycoding-The-Art-Of-Programming-By-July,0, 68, 74, .47
./keendreams-keen,0, 14, 117, .10
./kivy-python-for-android,Runtime error (func=(main), adr=11): Divide by zero
0, 0, 0,
./krakjoe-pthreads,0, 0, 24, 0
./kr-beanstalkd,0, 16, 60, .21
./kripken-emscripten,Runtime error (func=(main), adr=11): Divide by zero
0, 0, 0,
./laruence-php-yaf,0, 19, 41, .31
./laverdet-node-fibers,0, 5, 0, 1.00
./libgit2-libgit2,0, 11, 132, .07
./libgit2-rugged,0, 4, 43, .08
./libuv-libuv,0, 0, 1, 0
./linuxmint-Cinnamon,0, 0, 52, 0
./liuliu-ccv,0, 6, 6, .50
./lpereira-lwan,0, 66, 51, .56
./matz-streem,0, 37, 43, .46
./memcached-memcached,0, 69, 6, .92
