project name,exit status,compile success count,compile error count,build rate
./abrasive-shairport,0, 52, 65, .44
./alibaba-tengine,0, 61, 112, .35
./allinurl-goaccess,0, 109, 194, .35
./antirez-disque,0, 110, 256, .30
./antirez-redis,0, 112, 335, .25
./arut-nginx-rtmp-module,0, 118, 500, .19
./awslabs-s2n,0, 143, 647, .18
./b4winckler-macvim,0, 143, 660, .17
./bagder-curl,0, 143, 660, .17
./Bilibili-ijkplayer,0, 143, 671, .17
./buaazp-zimg,0, 223, 693, .24
./cesanta-mongoose,0, 261, 751, .25
./cinder-Cinder,0, 261, 751, .25
./clibs-clib,0, 392, 765, .33
./cloudius-systems-osv,0, 392, 767, .33
./cloudwu-skynet,0, 398, 781, .33
./contiki-os-contiki,0, 398, 781, .33
./coolwanglu-vim.js,0, 398, 794, .33
./DrKLO-Telegram,0, 403, 794, .33
./facebook-css-layout,0, 404, 810, .33
./facebook-watchman,0, 471, 919, .33
./fastos-fastsocket,/home/hebi/github/Helium/scripts/buildrate.sh: line 11:  9391 Segmentation fault      timeout 30 helium $fname > /dev/null 2>&1
0, 471, 919, .33
./FFmpeg-FFmpeg,0, 506, 1305, .27
./fogleman-Craft,0, 521, 1312, .28
./ggreer-the_silver_searcher,0, 555, 1337, .29
./git-git,0, 601, 1748, .25
./google-ios-webkit-debug-proxy,0, 641, 1809, .26
./grpc-grpc,0, 642, 1836, .25
./h2o-h2o,0, 828, 2016, .29
./haiwen-seafile,0, 847, 2282, .27
./helium_result,0, 847, 2282, .27
./imatix-zguide,0, 848, 2477, .25
./irungentoo-toxcore,0, 888, 2660, .25
./jedisct1-libsodium,0, 888, 2835, .23
./jonas-tig,0, 928, 2977, .23
./jorisvink-kore,0, 935, 3055, .23
./joyent-http-parser,0, 939, 3082, .23
./joyent-libuv,0, 939, 3082, .23
./julycoding-The-Art-Of-Programming-By-July,0, 1038, 3239, .24
./keendreams-keen,0, 1060, 3466, .23
./kivy-python-for-android,0, 1060, 3466, .23
./krakjoe-pthreads,0, 1060, 3490, .23
./kr-beanstalkd,0, 1076, 3550, .23
./kripken-emscripten,0, 1076, 3550, .23
./laruence-php-yaf,0, 1095, 3591, .23
./laverdet-node-fibers,0, 1100, 3591, .23
./libgit2-libgit2,0, 1132, 3996, .22
./libgit2-rugged,0, 1136, 4039, .21
./libuv-libuv,0, 1136, 4040, .21
./linuxmint-Cinnamon,0, 1140, 4269, .21
./liuliu-ccv,0, 1146, 4275, .21
./lpereira-lwan,0, 1211, 4327, .21
./matz-streem,0, 1246, 4372, .22
./memcached-memcached,0, 1293, 4400, .22
./micropython-micropython,0, 1295, 4400, .22
./mofarrell-p2pvc,0, 1368, 4449, .23
./mozilla-firefox-ios,0, 1372, 4456, .23
./mozilla-mozjpeg,0, 1376, 4497, .23
./mpv-player-mpv,0, 1377, 4552, .23
./mruby-mruby,0, 1391, 4636, .23
./msysgit-msysgit,0, 1394, 4673, .22
./nanomsg-nanomsg,0, 1396, 4717, .22
./nelhage-reptyr,0, 1399, 4731, .22
./nginx-nginx-releases,0, 1449, 4851, .23
./nicolasff-webdis,0, 1564, 4897, .24
./nothings-stb,0, 1590, 5141, .23
./numpy-numpy,0, 1623, 5189, .23
./okamstudio-godot,/home/hebi/github/Helium/scripts/buildrate.sh: line 11: 28987 Segmentation fault      timeout 30 helium $fname > /dev/null 2>&1
0, 1623, 5189, .23
./OpenKinect-libfreenect,0, 1673, 5253, .24
./orangeduck-Cello,0, 1673, 5255, .24
./philipl-pifs,0, 1677, 5259, .24
./php-php-src,0, 1677, 5259, .24
./postgres-postgres,0, 1677, 5263, .24
./probablycorey-wax,0, 1683, 5322, .24
./raspberrypi-linux,0, 1683, 5322, .24
./redis-hiredis,0, 1729, 5341, .24
./robertdavidgraham-masscan,/home/hebi/github/Helium/scripts/buildrate.sh: line 11:  5243 Segmentation fault      timeout 30 helium $fname > /dev/null 2>&1
0, 1756, 5385, .24
./rswier-c4,0, 1781, 5385, .24
./rui314-8cc,0, 1818, 5514, .24
./SamyPesse-How-to-Make-a-Computer-Operating-System,0, 1819, 5624, .24
./sdegutis-mjolnir,0, 1821, 5670, .24
./shadowsocks-shadowsocks-android,0, 1821, 5670, .24
./SoftEtherVPN-SoftEtherVPN,0, 1821, 5670, .24
./stedolan-jq,/home/hebi/github/Helium/scripts/buildrate.sh: line 11: 14153 Aborted                 timeout 30 helium $fname > /dev/null 2>&1
0, 1836, 5760, .24
./swoole-swoole-src,0, 1890, 5861, .24
./synergy-synergy,0, 1890, 5866, .24
./tmux-tmux,/home/hebi/github/Helium/scripts/buildrate.sh: line 11: 16837 Aborted                 timeout 30 helium $fname > /dev/null 2>&1
0, 1892, 5876, .24
./toland-qlmarkdown,0, 1892, 5876, .24
./torch-torch7,0, 1900, 6103, .23
./torvalds-linux,0, 1900, 6103, .23
./twitter-twemproxy,0, 1934, 6206, .23
./vim-vim,0, 1934, 6219, .23
./visit1985-mdp,0, 1963, 6237, .23
./vmg-redcarpet,0, 2021, 6342, .24
./vysheng-tg,0, 2038, 6393, .24
./wg-wrk,0, 2038, 6402, .24
./WhisperSystems-RedPhone,0, 2038, 6402, .24
./wishstudio-flinux,/home/hebi/github/Helium/scripts/buildrate.sh: line 11: 31793 Segmentation fault      timeout 30 helium $fname > /dev/null 2>&1
0, 2046, 6457, .24
./Xfennec-cv,0, 2055, 6467, .24
./yyuu-pyenv,0, 2056, 6467, .24
./zfsonlinux-zfs,0, 2056, 6471, .24
