project name,exit status,compile success count,compile error count,build rate
./abrasive-shairport,0,48, 35, .57
./alibaba-tengine,124,26, 67, .27
./allinurl-goaccess,0,42, 30, .58
./antirez-disque,124,5, 105, .04
./antirez-redis,124,6, 89, .06
./arut-nginx-rtmp-module,124,6, 99, .05
./awslabs-s2n,124,24, 110, .17
./b4winckler-macvim,124,9, 21, .30
./bagder-curl,124,0, 0, 0
./Bilibili-ijkplayer,124,2, 2, .50
./buaazp-zimg,0,81, 21, .79
./cesanta-mongoose,0,34, 59, .36
./cinder-Cinder,124,0, 0, 0
./clibs-clib,124,104, 8, .92
./cloudius-systems-osv,139,0, 2, 0
./cloudwu-skynet,124,55, 19, .74
./contiki-os-contiki,124,0, 0, 0
./coolwanglu-vim.js,124,9, 20, .31
./DrKLO-Telegram,124,3, 1, .75
./facebook-css-layout,0,1, 16, .05
./facebook-watchman,124,56, 62, .47
./fastos-fastsocket,124,0, 0, 0
./FFmpeg-FFmpeg,1,0, 0, 0
./fogleman-Craft,124,15, 7, .68
./ggreer-the_silver_searcher,0,26, 32, .44
./git-git,1,0, 0, 0
./google-ios-webkit-debug-proxy,0,37, 29, .56
./grpc-grpc,124,12, 89, .11
./h2o-h2o,124,51, 84, .37
./haiwen-seafile,124,13, 113, .10
./helium_result,1,0, 0, 0
./imatix-zguide,124,1, 138, 0
./irungentoo-toxcore,124,37, 63, .37
./jedisct1-libsodium,124,0, 42, 0
./jonas-tig,124,27, 101, .21
./jorisvink-kore,0,7, 65, .09
./joyent-http-parser,0,4, 14, .22
./joyent-libuv,0,0, 0, 0
./julycoding-The-Art-Of-Programming-By-July,124,66, 71, .48
./keendreams-keen,124,14, 118, .10
./kivy-python-for-android,124,0, 1, 0
./krakjoe-pthreads,0,0, 24, 0
./kr-beanstalkd,0,15, 49, .23
./kripken-emscripten,124,0, 0, 0
./laruence-php-yaf,0,19, 41, .31
./laverdet-node-fibers,0,5, 0, 1.00
./libgit2-libgit2,1,0, 0, 0
./libgit2-rugged,0,4, 43, .08
./libuv-libuv,124,0, 1, 0
./linuxmint-Cinnamon,124,7, 118, .05
./liuliu-ccv,124,4, 6, .40
./lpereira-lwan,0,65, 39, .62
./matz-streem,0,35, 45, .43
./memcached-memcached,0,43, 5, .89
./micropython-micropython,1,2, 0, 1.00
./mofarrell-p2pvc,0,68, 54, .55
./mozilla-firefox-ios,124,39, 22, .63
./mozilla-mozjpeg,124,33, 44, .42
./mpv-player-mpv,124,44, 36, .55
./mruby-mruby,124,66, 11, .85
./msysgit-msysgit,124,4, 9, .30
./nanomsg-nanomsg,0,27, 37, .42
./nelhage-reptyr,0,3, 14, .17
./nginx-nginx-releases,124,62, 56, .52
./nicolasff-webdis,124,93, 30, .75
./nothings-stb,124,8, 101, .07
./numpy-numpy,124,49, 50, .49
./okamstudio-godot,139,0, 2, 0
./OpenKinect-libfreenect,0,47, 29, .61
./orangeduck-Cello,0,69, 8, .89
./philipl-pifs,0,4, 4, .50
./php-php-src,124,0, 0, 0
./postgres-postgres,124,0, 2, 0
./probablycorey-wax,0,21, 6, .77
./raspberrypi-linux,124,0, 0, 0
./redis-hiredis,0,42, 23, .64
./robertdavidgraham-masscan,139,27, 44, .38
./rswier-c4,0,25, 0, 1.00
./rui314-8cc,0,37, 58, .38
./SamyPesse-How-to-Make-a-Computer-Operating-System,0,1, 1, .50
./sdegutis-mjolnir,0,20, 4, .83
./shadowsocks-shadowsocks-android,1,0, 0, 0
./SoftEtherVPN-SoftEtherVPN,124,0, 0, 0
./stedolan-jq,134,15, 42, .26
./swoole-swoole-src,124,57, 66, .46
./synergy-synergy,0,0, 0, 0
./tmux-tmux, 134,4, 5, .44
./toland-qlmarkdown,0,0, 0, 0
./torch-torch7,124,0, 124, 0
./torvalds-linux,124,0, 0, 0
./twitter-twemproxy,0,34, 86, .28
./vim-vim,124,7, 21, .25
./visit1985-mdp,0,29, 18, .61
./vmg-redcarpet,124,70, 64, .52
./vysheng-tg,0,17, 38, .30
./wg-wrk,124,0, 9, 0
./WhisperSystems-RedPhone,1,0, 0, 0
./wishstudio-flinux,124,7, 50, .12
./Xfennec-cv,0,7, 12, .36
./yyuu-pyenv,0,1, 0, 1.00
./zfsonlinux-zfs,124,29, 27, .51
