filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/asnprintf.c, 28, 1, 17, 5, 6, true
/Users/hebi/benchmark/gzip-1.7/lib/asnprintf.c, 31, 1, 17, 2, 6, true
/Users/hebi/benchmark/gzip-1.7/lib/asnprintf.c, 33, 1, 17, 0, 4, true
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 39, 1, 9, 0, 4, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 41, 1, 9, -2, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 42, 1, 9, -3, 7, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 45, 1, 9, -6, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 48, 1, 9, -9, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 51, 1, 9, -12, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 54, 1, 9, -15, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 57, 1, 9, -18, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 60, 1, 9, -21, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 63, 1, 9, -24, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 66, 1, 9, -27, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 70, 1, 9, -31, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 73, 1, 9, -34, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 77, 1, 9, -38, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 80, 1, 9, -41, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 83, 1, 9, -44, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 90, 1, 9, -51, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 97, 1, 9, -58, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 101, 1, 9, -62, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 102, 1, 9, -63, 11, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 106, 1, 9, -67, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 110, 1, 9, -71, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 119, 1, 9, -80, 11, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 124, 1, 9, -85, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 127, 1, 9, -88, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 130, 1, 9, -91, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 133, 1, 9, -94, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 136, 1, 9, -97, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 140, 1, 9, -101, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 146, 1, 9, -107, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 150, 1, 9, -111, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 154, 1, 9, -115, 11, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 158, 1, 9, -119, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 162, 1, 9, -123, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 166, 1, 9, -127, 11, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 170, 1, 9, -131, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 174, 1, 9, -135, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 178, 1, 9, -139, 11, false
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 36, 1, 9, 15, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 36, 1, 8, 15, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 39, 1, 9, 12, 9, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 41, 1, 9, 10, 7, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 41, 1, 9, 10, 7, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 42, 1, 9, 9, 6, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 45, 1, 9, 6, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 45, 1, 9, 6, 8, true
