leaf_size, node_size, main_loc, snippet_size, snippet_loc, build_or_not
1, 1, -1, 0, -1, false
0, 1, -1, 0, -1, true
1, 1, -1, 0, -1, false
1, 1, -1, 1, -1, true
0, 1, -1, 2, -1, true
1, 1, -1, 0, -1, false
0, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, true
0, 1, -1, 1, -1, true
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
2, 3, -1, 1, -1, true
1, 1, -1, 0, -1, false
0, 1, -1, 0, -1, true
1, 1, -1, 1, -1, true
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 1, -1, true
2, 5, -1, 2, -1, true
1, 1, -1, 1, -1, true
1, 1, -1, 1, -1, true
2, 3, -1, 1, -1, true
2, 3, -1, 1, -1, true
1, 1, -1, 0, -1, false
0, 1, -1, 1, -1, true
1, 1, -1, 1, -1, true
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 1, -1, 0, -1, false
0, 1, -1, 1, -1, true
2, 3, -1, 1, -1, true
1, 1, -1, 0, -1, false
2, 3, -1, 1, -1, true
1, 1, -1, 0, -1, false
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
1, 1, -1, 0, -1, false
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
1, 1, -1, 1, -1, false
0, 0, -1, 0, -1, true
0, 1, -1, 0, -1, false
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
1, 1, -1, 0, -1, false
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 1, -1, 2, -1, false
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
1, 1, -1, 0, -1, false
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
1, 1, -1, 3, -1, true
0, 0, -1, 0, -1, true
1, 1, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 1, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
1, 3, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
1, 1, -1, 0, -1, false
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
0, 0, -1, 0, -1, true
